,m/z,I,I %,Res.,S/N
16259,483.50006,7266339,0.1,467132,4.0
16260,483.50445,7567414,0.1,389388,4.3
16261,483.65441,8140980,0.1,270438,4.8
16262,483.76174,8054909,0.1,488653,4.7
16263,483.82034,8214903,0.1,411538,4.9
16264,484.00509,8354955,0.1,541278,5.0
16265,484.031,24397050,0.3,437913,19.1
16266,484.0391,19328285,0.2,428459,14.6
16267,484.04382,10673457,0.1,494361,7.0
16268,484.04598,8759610,0.1,577378,5.3
16269,484.04733,7247167,0.1,638368,4.0
16270,484.06531,7323021,0.1,739561,4.1
16271,484.06744,25105814,0.3,433642,19.7
16272,484.07563,10903992,0.1,451160,7.2
16273,484.08014,11311564,0.1,284670,7.6
16274,484.0827,19637719,0.2,476152,14.9
16275,484.10382,22165041,0.2,414244,17.1
16276,484.11272,8240215,0.1,282982,4.9
16277,484.11894,9581170,0.1,399478,6.1
16278,484.14023,17794765,0.2,384277,13.3
16279,484.1483,11710191,0.1,473112,7.9
16280,484.21315,9049093,0.1,462460,5.5
16281,484.27858,8571164,0.1,479035,5.1
16282,484.31504,7877049,0.1,587808,4.5
16283,484.40142,8425258,0.1,456325,5.0
16284,484.44715,9857006,0.1,508271,6.2
16285,484.56625,7924205,0.1,508409,4.6
16286,484.59176,8440411,0.1,348883,5.0
16287,484.68391,7939046,0.1,542085,4.6
16288,484.80766,13240825,0.1,464573,9.2
16289,484.91842,7865302,0.1,297941,4.5
16290,484.94929,7325275,0.1,461860,4.0
16291,484.99125,7333135,0.1,434626,4.0
