mz,Intensity,s_n,res
228.23117,1110083,4.4,1338092
228.25477,1061729,4.1,880713
228.26828,1284660,5.4,879149
228.26947,1073288,4.2,957496
228.27192,1142629,4.6,1396321
228.33022,1303331,5.5,1357515
228.3336,1143964,4.6,934691
228.33766,1052797,4,1064334
228.35621,1230209,5.1,1112191
228.36054,1121782,4.4,906016
228.38737,1188917,4.8,1103323
228.39718,1097715,4.3,997995
228.41097,1089338,4.3,1044337
228.43183,1218155,5,1107240
228.44076,1058173,4.1,1405965
228.50014,1143696,4.6,1052853
228.53463,1052284,4,1099657
228.55044,1103184,4.3,1424169
228.56256,1112311,4.4,784290
228.58254,1426936,6.2,1137463
228.59263,1249307,5.2,942489
228.60754,1343159,5.7,660808
228.65573,1054027,4.1,1217892
228.66669,1094273,4.3,988372
228.69326,1103208,4.3,1087218
228.70336,1080535,4.2,1208988
228.74805,1141498,4.6,1133537
228.78379,1052019,4,1493961
228.83488,1091488,4.3,1127868
228.86959,1186962,4.8,1204371
228.8887,1064774,4.1,1058556
228.89625,1242360,5.1,1314610
228.9146,1190837,4.8,1373413
228.92923,1272065,5.3,1116376
228.96391,1189874,4.8,1215301
228.97726,1101062,4.3,1311398
228.99567,1054667,4.1,1615233
229.00915,1097966,4.3,1427092
229.0264,1467435,6.4,1308600
229.03177,1086472,4.2,1033591
229.04958,1148369,4.6,1080119
229.05456,1085738,4.2,1267651
229.07513,1107088,4.4,1450821
229.09523,1076985,4.2,927354
229.19264,1210568,4.9,1165744
229.2809,1064456,4.1,1364057
229.29273,1160411,4.7,1189028
229.29421,1176332,4.7,1267862
229.31612,1060146,4.1,1515726
229.31802,1068907,4.1,1441445
229.35551,1052509,4,1054650
229.37754,1212019,5,1215879
229.38151,1134924,4.5,1395192
229.40696,1153948,4.6,864233
229.43143,1228474,5,1332360
229.45026,1146024,4.6,1500791
229.48432,1460170,6.4,1211981
229.49343,1056796,4.1,1396811
229.5058,1090164,4.3,964677
229.50827,1152632,4.6,1331774
229.51482,1242438,5.1,767334
229.54118,1059938,4.1,1409090
229.58158,1162318,4.7,879164
229.59057,1062096,4.1,1130492
229.63205,1106164,4.3,1133923
229.63738,1097022,4.3,1070309
229.7237,1140607,4.5,1161632
229.74256,1050853,4,1116080
229.75819,1053225,4,1245529
229.8406,1069066,4.1,1080502
229.86232,1063337,4.1,1453933
229.87616,1057069,4.1,1236570
229.92311,1074427,4.2,1404063
229.92632,1240752,5.1,788564
229.93073,1279245,5.3,1183895
229.9323,1118358,4.4,1318586
229.97814,1186524,4.8,1572358
229.98465,1136414,4.5,1449257
230.01557,1074583,4.2,1513210
230.0278,1227835,5,1196885
230.03385,1075581,4.2,1106233
230.10948,1105837,4.3,997923
230.13406,1074172,4.2,940724
230.1499,1114097,4.4,1338167
230.18805,1050325,4,983135
230.21284,1055797,4.1,1532362
230.21629,1080006,4.2,1309699
230.27937,1081914,4.2,1302475
230.29848,1120240,4.4,999995
230.30569,1228995,5,1100556
230.32343,1126224,4.4,1191117
