,M/z,Intensity,Relative,Resolution,Frequency,S/N
9376,593.05729,0.0421,0.2245373,716070,544691.820453,6.91
9377,593.07255,0.126,0.6718068,684432,544677.804002,23.13
9378,593.09369,0.0393,0.2097505,669789,544658.393002,6.37
9379,593.1089,0.0695,0.3706604,758460,544644.425315,12.21
9380,593.13,0.0432,0.230387,598414,544625.053419,7.12
9381,593.15112,0.0356,0.190081,771275,544605.659791,5.66
9382,593.16643,0.0373,0.1990205,860073,544591.596765,5.98
9383,593.22418,0.0319,0.1703054,946914,544538.582956,4.94
9384,593.23921,0.0337,0.1794713,769858,544524.791307,5.27
9385,593.26024,0.0378,0.2013841,822228,544505.485226,6.07
9386,594.03138,0.1331,0.7096089,731714,543798.62651,24.5
9387,594.03951,0.0573,0.3053699,750700,543791.186964,9.84
9388,594.06783,0.1017,0.542533,735203,543765.262946,18.44
9389,594.07598,0.0479,0.2555307,806333,543757.805069,8.03
9390,594.1042,0.0604,0.3220915,845335,543731.970008,10.45
9391,594.12521,0.0319,0.1702495,751822,543712.741237,4.94
9392,594.14051,0.0341,0.181855,577234,543698.745651,5.36
9393,595.01544,0.1507,0.8036619,689143,542899.257291,27.91
9394,595.02666,0.0333,0.1778063,860310,542889.02323,5.21
9395,595.03476,0.0444,0.2365347,395488,542881.631177,7.34
9396,595.05181,0.1736,0.9256197,713874,542866.072753,32.33
9397,595.06711,0.0576,0.3072313,711167,542852.122158,9.91
9398,595.07296,0.0428,0.2281243,693164,542846.784999,7.04
9399,595.08823,0.0954,0.5086835,725081,542832.854097,17.21
9400,595.1034,0.0324,0.1726939,842292,542819.017883,5.03
9401,595.10928,0.0471,0.2514146,704732,542813.653346,7.88
9402,595.12457,0.0631,0.3364311,750603,542799.708669,10.97
9403,595.13064,0.0334,0.1780984,859157,542794.172948,5.22
9404,595.18219,0.0391,0.2083486,596678,542747.151338,6.32
9405,595.49434,0.0339,0.18063,555167,542462.649628,5.32
9406,595.99087,0.0964,0.5143657,757976,542010.710636,17.42
9407,596.01066,0.0706,0.3763624,666971,541992.715138,12.41
9408,596.01878,0.052,0.2771403,729505,541985.327185,8.82
