,M/z,Intensity,Relative,Resolution,Frequency,S/N
10085,386.97055,0.0145,0.1680321,1150240,834778.811965,2.58
10086,386.98128,0.0155,0.1797266,961968,834755.646108,2.83
10087,386.99939,0.4969,5.7470713,1186097,834716.59845,118.34
10088,387.00276,0.02,0.230822,968215,834709.333306,3.89
10089,387.00697,0.0178,0.2056738,1374977,834700.24008,3.36
10090,387.00996,0.0384,0.4439133,1236139,834693.79658,8.31
10091,387.01061,0.0261,0.3017955,1325467,834692.388637,5.36
10092,387.01241,0.0202,0.2338858,856540,834688.498834,3.95
10093,387.01463,0.0429,0.4967617,1166539,834683.714054,9.4
10094,387.01758,0.1568,1.8139265,1093118,834677.358531,36.73
10095,387.01847,0.0172,0.1988516,1708313,834675.441465,3.22
10096,387.02051,0.1027,1.1881031,1193063,834671.045707,23.75
10097,387.02325,0.0229,0.2653389,486360,834665.126818,4.6
10098,387.02368,0.021,0.2433054,470735,834664.213282,4.15
10099,387.02434,0.0151,0.1746119,926241,834662.77353,2.72
10100,387.02523,0.0157,0.1810722,872294,834660.854759,2.85
10101,387.02686,0.0212,0.2451116,1151025,834657.355818,4.18
10102,387.02742,0.0188,0.2174495,434882,834656.130716,3.61
10103,387.02815,0.2002,2.3157918,1111726,834654.573775,47.15
10104,387.03026,0.0161,0.1864025,422930,834650.012298,2.96
10105,387.03067,0.0202,0.234031,450352,834649.133098,3.95
10106,387.03133,0.0174,0.2014654,1254711,834647.713812,3.28
10107,387.03375,0.0159,0.1837293,698981,834642.48391,2.91
10108,387.03578,1.0351,11.9727335,1172588,834638.118821,247.51
10109,387.03784,0.0238,0.2747808,1078230,834633.671659,4.8
10110,387.03913,0.0286,0.3311788,1317666,834630.889321,5.97
10111,387.04139,0.0336,0.3885996,1151695,834626.008674,7.16
10112,387.04188,0.0245,0.2839441,998952,834624.951377,4.99
10113,387.04276,0.0209,0.2420057,966688,834623.063099,4.12
10114,387.04336,0.0145,0.1675366,888737,834621.771502,2.57
10115,387.04548,0.0259,0.2999404,1250198,834617.187811,5.32
10116,387.04634,0.2853,3.2998941,1143719,834615.343512,67.56
10117,387.04699,0.0796,0.9209173,1129381,834613.935373,18.2
10118,387.04883,0.1033,1.1945689,1233323,834609.965763,23.88
10119,387.05105,0.063,0.7292237,1066754,834605.187044,14.23
10120,387.05194,0.027,0.3121108,1096832,834603.258774,5.57
10121,387.05397,0.1208,1.3968631,1133428,834598.889978,28.08
10122,387.05515,0.0376,0.434533,1183082,834596.335648,8.11
10123,387.05605,0.0205,0.237496,621814,834594.403613,4.02
10124,387.0569,0.48,5.5517211,1180026,834592.571623,114.28
10125,387.05956,0.0284,0.3288261,449149,834586.823477,5.92
10126,387.06001,0.0276,0.3192228,443039,834585.867048,5.72
10127,387.0632,0.0159,0.1844788,1063469,834578.991228,2.92
10128,387.06453,0.2131,2.4650395,1082567,834576.105974,50.24
10129,387.06666,0.0252,0.2910782,1171337,834571.529681,5.14
10130,387.0677,0.0174,0.2012059,1322067,834569.275928,3.27
10131,387.06995,0.0431,0.4990278,1521827,834564.424918,9.45
10132,387.07216,0.851,9.8428555,1179393,834559.664526,203.32
10133,387.07424,0.0183,0.2120684,1235322,834555.181266,3.5
10134,387.0755,0.0308,0.3567039,1230599,834552.46556,6.5
10135,387.07786,0.0157,0.1819144,1309142,834547.371222,2.87
10136,387.08189,0.0238,0.2751538,1037630,834538.685834,4.81
10137,387.08272,0.1214,1.4036742,1031625,834536.88938,28.22
10138,387.08338,0.112,1.2955798,1174593,834535.471877,25.98
10139,387.08431,0.0206,0.2385917,952556,834533.458566,4.05
10140,387.08522,0.1585,1.8338023,1134515,834531.501276,37.14
10141,387.0874,0.0285,0.3297186,1270830,834526.813582,5.94
10142,387.09035,0.0282,0.3264988,936046,834520.45148,5.87
10143,387.0915,0.0295,0.3411801,1201647,834517.958721,6.18
10144,387.09328,0.5946,6.8778787,1207393,834514.11854,141.8
10145,387.09645,0.0254,0.2934271,949254,834507.285664,5.19
10146,387.10091,0.063,0.7290884,1143716,834497.689255,14.22
10147,387.103,0.0402,0.4653964,1085509,834493.170888,8.75
10148,387.10455,0.0223,0.2578573,977527,834489.823227,4.45
10149,387.10634,0.0148,0.1708652,1431210,834485.977262,2.64
10150,387.10854,0.5479,6.3374147,1177457,834481.229019,130.59
10151,387.11191,0.0229,0.2652387,1082104,834473.956236,4.6
10152,387.11826,0.03,0.3475012,1050420,834460.285302,6.31
10153,387.11917,0.0287,0.3318042,937484,834458.322863,5.98
10154,387.11979,0.0502,0.5811037,1199447,834456.987629,11.15
10155,387.12075,0.0206,0.238301,862496,834454.916415,4.04
10156,387.1216,0.1584,1.8323936,1145979,834453.069673,37.12
10157,387.12967,0.4805,5.5576239,1169324,834435.681969,114.41
10158,387.13286,0.0175,0.2024102,1250887,834428.796704,3.3
10159,387.13731,0.0161,0.1857139,1142338,834419.209625,2.95
10160,387.1394,0.0336,0.3886362,1081505,834414.719682,7.16
10161,387.1409,0.0182,0.210016,1359548,834411.479295,3.45
10162,387.14274,0.0203,0.2346352,1122250,834407.506431,3.97
10163,387.14493,0.2565,2.9672885,1182488,834402.79895,60.66
10164,387.15216,0.0211,0.2444083,1048943,834387.218197,4.17
10165,387.15799,0.1058,1.2239792,1137129,834374.641623,24.49
10166,387.16606,0.2164,2.5031695,1173155,834357.260927,51.03
10167,387.17576,0.0195,0.2260036,895646,834336.352677,3.79
