,m/z,I,S/N,Res.,I %
8484,533.34816,3609661,6.7,336805,1.2
8485,533.36619,2548289,4.2,356187,0.9
8486,533.38477,3159110,5.6,368982,1.1
8487,533.60551,2683009,4.5,379248,0.9
8488,533.92205,2862806,4.9,340110,1.0
8489,533.97095,2645219,4.4,435880,0.9
8490,534.01793,2602736,4.3,264466,0.9
8491,534.03156,2797811,4.8,480402,1.0
8492,534.04665,3294455,6.0,440806,1.1
8493,534.05492,2517753,4.1,374500,0.9
8494,534.06759,2686205,4.5,413501,0.9
8495,534.07423,2792703,4.8,451825,1.0
8496,534.1123,2578697,4.2,379236,0.9
8497,534.34701,2629448,4.4,366538,0.9
8498,534.41612,5567834,11.4,370180,1.9
8499,534.75114,2683316,4.5,380720,0.9
8500,535.01539,4680187,9.3,331694,1.6
8501,535.03075,34823680,81.7,335826,11.9
8502,535.04591,3736067,7.0,359583,1.3
8503,535.05188,2609157,4.3,369624,0.9
8504,535.06722,6538761,13.8,319781,2.2
8505,535.08229,2955789,5.2,399750,1.0
8506,535.0886,3099150,5.5,375774,1.1
8507,535.10376,3462674,6.4,355839,1.2
8508,535.1247,6319640,13.2,363393,2.2
8509,535.16113,5231138,10.6,301485,1.8
8510,535.31948,2490956,4.0,519110,0.8
8511,535.32766,5017167,10.1,280595,1.7
8512,535.3645,2581080,4.3,402647,0.9
8513,535.44792,2985071,5.2,278758,1.0
8514,535.68078,2885294,5.0,332533,1.0
8515,536.034,7902989,17.0,346620,2.7
8516,536.03866,4868878,9.8,299536,1.7
8517,536.07043,2550038,4.2,305060,0.9
8518,536.09414,15515421,35.3,327278,5.3
8519,536.53144,2481555,4.0,303543,0.8
8520,536.59586,6883236,14.6,336201,2.3
8521,536.93616,2641408,4.4,373856,0.9
8522,537.0101,2757652,4.7,343080,0.9
8523,537.04651,53780508,127.3,331607,18.3
8524,537.06199,5450786,11.1,311490,1.9
8525,537.06788,2727460,4.6,326701,0.9
8526,537.08293,33398824,78.3,335334,11.4
8527,537.09799,3745836,7.1,438509,1.3
8528,537.1041,4556846,9.0,415390,1.6
8529,537.13598,2556982,4.2,313880,0.9
